Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
171,"Vistara, Air India",BOM,DEL,7h 55m,1 stop,2024-06-22,16:00,23:55,"₹ 71,496"
172,"Air India, Vistara",BOM,DEL,5h 40m,1 stop,2024-06-22,16:40,22:20,"₹ 71,555"
173,"Air India, Vistara",BOM,DEL,6h 00m,1 stop,2024-06-22,06:40,12:40,"₹ 71,607"
174,"Vistara, Air India",BOM,DEL,7h 35m,1 stop,2024-06-22,07:00,14:35,"₹ 71,783"
175,"Vistara, Air India",BOM,DEL,9h 10m,1 stop,2024-06-22,07:00,16:10,"₹ 71,783"
176,"Vistara, Air India",BOM,DEL,7h 50m,2 stops,2024-06-22,12:00,19:50,"₹ 73,251"
177,"Vistara, Air India",BOM,DEL,8h 45m,1 stop,2024-06-22,13:50,22:35,"₹ 77,552"
178,"Vistara, Air India",BOM,DEL,8h 55m,2 stops,2024-06-22,11:25,20:20,"₹ 84,445"
179,"Vistara, Air India",BOM,DEL,8h 40m,2 stops,2024-06-22,11:25,20:05,"₹ 90,649"
180,"Vistara, Air India",BOM,DEL,8h 50m,2 stops,2024-06-22,15:05,23:55,"₹ 113,519"
181,Vistara,BOM,DEL,2h 05m,direct,2024-06-23,07:30,09:35,"₹ 4,686"
182,Air India Express,BOM,DEL,2h 15m,direct,2024-06-23,00:40,02:55,"₹ 4,301"
183,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,06:30,08:40,"₹ 4,686"
184,Air India,BOM,DEL,2h 20m,direct,2024-06-23,08:00,10:20,"₹ 4,545"
185,Air India,BOM,DEL,2h 20m,direct,2024-06-23,09:00,11:20,"₹ 4,545"
186,Air India,BOM,DEL,2h 15m,direct,2024-06-23,07:00,09:15,"₹ 4,639"
187,Air India,BOM,DEL,2h 15m,direct,2024-06-23,19:00,21:15,"₹ 5,007"
188,Air India,BOM,DEL,2h 20m,direct,2024-06-23,18:00,20:20,"₹ 5,007"
189,Akasa Air,BOM,DEL,2h 15m,direct,2024-06-23,19:00,21:15,"₹ 5,178"
190,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,08:45,10:55,"₹ 5,421"
191,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-23,09:05,11:15,"₹ 4,804"
192,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,07:45,09:50,"₹ 4,825"
193,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,07:00,09:05,"₹ 4,825"
194,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,06:15,08:20,"₹ 4,930"
195,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,08:30,10:35,"₹ 5,035"
196,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,11:50,14:05,"₹ 5,421"
197,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,06:15,08:20,"₹ 4,930"
198,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,08:30,10:35,"₹ 5,035"
